gene_id,gene_short_name,cluster_method,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000116741,RGS2,leiden,leiden 2,0.6278582004630279,4.044548914334493,0.9203747072599532,0.6821767216226792,0.6830145092458264,2.3354378074920757e-142,3.4002106126838627e-137
ENSG00000162889,MAPKAPK2,leiden,leiden 4,0.4733874982271879,1.6342604825937508,0.7714285714285715,0.6136504606648732,0.2557880347049225,1.4319550429733623e-15,2.0848119861657776e-10
ENSG00000162894,FCMR,leiden,leiden 3,0.5428693189749385,3.506769677532543,0.9174311926605505,0.5917275576826829,0.40725572844710145,2.473344782588911e-46,3.600992135866847e-41
ENSG00000115355,CCDC88A,leiden,leiden 4,0.5626494958828978,4.839155042242874,1,0.5626494958828978,0.4743893265153967,3.630476474688273e-28,5.285683309028151e-23
ENSG00000119866,BCL11A,leiden,leiden 4,0.45323032397185764,4.389538503238103,0.9428571428571428,0.48069882845500056,0.24236964035568515,8.178715551097323e-15,1.1907555545153616e-9
ENSG00000115977,AAK1,leiden,leiden 1,0.43114833299043137,2.29455166091304,0.8132427843803056,0.5301594324245597,0.27638692043793606,1.6609989563475427e-54,2.4182816005255145e-49
ENSG00000211592,IGKC,leiden,leiden 3,0.6301278068308855,65.07192243636628,0.7706422018348624,0.8176658445781728,0.49962161219449025,1.2543481291508058e-57,1.8262305281932414e-52
ENSG00000172005,MAL,leiden,leiden 1,0.4397031409214008,1.2292470694413142,0.5144312393887945,0.8547364686557923,0.3835488545193706,2.7035705448444794e-78,3.9361824276499747e-73
ENSG00000144218,AFF3,leiden,leiden 3,0.5199972747259897,2.7216144692580326,0.8440366972477065,0.6160837276644877,0.5993471378661807,2.0892348000742686e-70,3.041758730124129e-65
ENSG00000136732,GYPC,leiden,leiden 1,0.38665982039415386,1.9600695044697602,0.7707979626485568,0.5016357581765565,0.2628829071697107,1.1684060818035818e-51,1.7011057826194707e-46
ENSG00000121966,CXCR4,leiden,leiden 3,0.4496288075679866,3.6776656875594353,0.8348623853211009,0.5385663739001159,0.19446040657600566,5.081556153420376e-22,7.398339234887793e-17
ENSG00000018280,SLC11A1,leiden,leiden 2,0.6625604782780667,2.429405356757116,0.9156908665105387,0.7235634890658171,0.7356081093361327,3.030562020140516e-157,4.41225585636298e-152
ENSG00000135916,ITM2C,leiden,leiden 4,0.47946341482046456,4.020773768265376,0.6571428571428571,0.7296182399441852,0.30248960636060374,3.2273589350587245e-18,4.698776420730698e-13
ENSG00000188042,ARL4C,leiden,leiden 1,0.449997459180652,3.665292321436391,0.8455008488964346,0.5322259105570362,0.49582049605551676,7.46882450639306e-106,1.0874010975347784e-100
ENSG00000154814,OXNAD1,leiden,leiden 1,0.4475620642022319,1.2840515790271394,0.5942275042444821,0.7531830166146132,0.38014816109096455,1.6666588987979053e-77,2.4265220239378463e-72
ENSG00000121807,CCR2,leiden,leiden 4,0.4402613871461682,1.3988517506625842,0.9142857142857143,0.4815358921911215,0.18861611580902837,8.499450699218147e-12,1.2374520262005686e-6
ENSG00000114902,SPCS1,leiden,leiden 4,0.447008409189219,4.06609193456038,1,0.447008409189219,0.17909984032424395,2.8928678312982803e-11,4.211784132943793e-6
ENSG00000170017,ALCAM,leiden,leiden 4,0.45876752982550234,0.9684698996830887,0.8,0.5734594122818779,0.2968791194074997,6.7296932565797235e-18,9.79789500611955e-13
